D-100-1,"Agencia Tributaria"
D-100-1,"Telefono: 901 33"
D-100-1,"www.agenciatributaria.es"
D-100-1,"Primer declarante y conyuge en caso de matrimonio no separado legalmente"
D-100-1,"02 Apellidos nombre"
D-100-1,"Importante: los contribuyentes que tengan consideracion de empresarios O profesionales y hayan cambiado de domicilio"
D-100-1,"habitual deberan comunicarlo presentando declaracion censal (modelo 036 o '037) de modificacion de datos."
D-100-1,"Domicilio habitual actual del primer declarante"
D-100-1,"16) Nombre de la Via Publica"
D-100-1,"18)"
D-100-1,"Numero"
D-100-1,"de casa"
D-100-1,"28) Nombre del Municipio"
D-100-1,"42 Codigo Pais"
D-100-1,"Datos adicionales de la vivienda en la que el primer declarante tiene su domicilio habitual actual. Si el primer declarante su conyuge son propietarios de la vivienda se consignaran"
D-100-1,"tambien en su caso los datos de las plazas de garaje con un maximo de dos y de los trasteros anexos adquiridos conjuntamente con la misma siempre que se trate de fincas registrales independientes."
D-100-1,"Porcentaje/s de participacion en caso de propiedad o usufructo:"
D-100-1,"Primer declarante:"
D-100-1,"51"
D-100-1,"Primer declarante:"
D-100-1,"51"
D-100-1,"Primer declarante:"
D-100-1,"51"
D-100-1,"Primer declarante:"
D-100-1,"51"
D-100-1,"Primer declarante:"
D-100-1,"(51"
D-100-1,"Primer declarante:"
D-100-1,"51"
D-100-1,"Primer declarante:"
D-100-1,"51"
D-100-1,"Primer declarante:"
D-100-1,"51"
D-100-1,"55"
D-100-1,"Solo si ha consignado la clave 3 en casilla 50: NIF arrendador.."
D-100-1,"Conyuge (los datos identificativos del conyuge son obligatorios en caso de matrimonio no separado legalmente)"
D-100-1,"(58) Apellidos y nombre"
D-100-1,"Importante: los contribuyentes que tengan la consideracion de empresarios O profesionales y hayan"
D-100-1,"cambiado de domicilio habitual deberan comunicarlo presentando declaracion censal (modelo 036 o"
D-100-1,"Domicilio habitual actual del conyuge en caso de tributacion conjunta"
D-100-1,"(16) Nombre de la Via Publica"
D-100-1,"18"
D-100-1,"Numero"
D-100-1,"de casa"
D-100-1,"(19)"
D-100-1,"28"
D-100-1,"Nombre del Municipio"
D-100-1,"(42) Codigo Pais"
D-100-1,"(66"
D-100-1,"Apellidos y nombre 0 razon"
D-100-1,"Atencion: este apartado unicamente se cumplimentara en las declaraciones individuales de contribuyentes fallecidos en el ejercicio 2018 con anterioridad al dia 31 de diciembre."
D-100-1,"Opcion de tributacion"
D-100-1,"Indique la opcion de tributacion elegida (marque con una "X" la casilla que proceda)"
D-100-1,"Atencion: solamente podran optar por el regimen de tributacion conjunta los contribuyentes integrados en una unidad familiar."
D-100-1,"Comunidad o Ciudad Autonoma de residencia en el ejercicio 2018"
D-100-1,"Clave de la Comunidad Autonoma o de la Ciudad con Estatuto de Autonomia en la que tuvo/tuvieron su residencia habitual en 2018"
D-100-1,"Impuesto sobre la Renta de las Personas Fisicas"
D-100-1,"Declaracion"
D-100-1,"Ejercicio 2018"
D-100-1,"Sexo del primer"
D-100-1,"Estado civil (el 31-12-2018)"
D-100-1,"declarante:"
D-100-1,"Soltero/a"
D-100-1,"Casado/a"
D-100-1,"H: hombre"
D-100-1,"M: mujer"
D-100-1,"05"
D-100-1,"06"
D-100-1,"07"
D-100-1,"Fecha de nacimiento"
D-100-1,"Grado de discapacidad. Clave"
D-100-1,"Cambio de domicilio. Si ha cambiado de domicilio consigne una "X""
D-100-1,"Calificador"
D-100-1,"del numero"
D-100-1,"20 Bloque"
D-100-1,"(21"
D-100-1,"Portal"
D-100-1,"(22)"
D-100-1,"Escalera"
D-100-1,"(23) Planta"
D-100-1,"26)"
D-100-1,"Localidad /Poblacion"
D-100-1,"(si es distinta del municipio)"
D-100-1,"(29) Provincia"
D-100-1,"(36) Datos complementarios"
D-100-1,"del domicilio"
